"","Carats","Cert","Clarity","Color","Cut","Depth","Fluroescence","Known_Conflict_Diamond","Measurements","Polish","Regions","Shape","Symmetry","Table","Vendor","Offers"
"1959",0.7,"AGSL","SI1","F"," ",NA,"Strong Bl..",NA,"5.67x5.62x3.57","Excellent","Australia","Round","Good",56,"1",NA
"1962",0.6,"AGSL","VVS1","E"," ",NA,"Medium Bl..",NA,"5.39x5.37-3.38","Excellent","DR Congo","Cushion","Excellent",56,"2",NA
"1966",0.6,"AGSL","VS1","E"," ",59.9,NA,NA,"5.47*5.45x3.27","Excellent","Canada","Oval","Very good",NA,"1",NA
"1971",0.8,"AGSL","SI1","I","Very good",64.5,"None",NA,"5.76x5.79x3.73","Excellent","Australia","Round","Excellent",58,"2",NA
"1974",0.7,"NA","SI1","G"," ",62.8,"None",NA,"5.66x5.61x3.54","Very good","Australia","Round","Excellent",NA,"1",NA
"1976",0.7,"AGSL","SI2","F"," ",62.4,"None",FALSE,"5.66x5.68x3.54"," ","Canada","Round"," ",NA,"2",NA
"1978",0.66,"NA","VS2","F"," ",61.3,"None",NA,"5.53x5.6x3.41"," ","Russia","Marquise"," ",NA,"2",NA
"1979",0.8,"AGSL","SI1","I","Excellent",62.1,"Strong Bl..",NA,"5.95x5.96x3.7","Excellent","Russia","Princess","Excellent",58,"1",NA
"1980",0.61,"AGSL","VS1","E"," ",62.5,"None",NA,"5.44x5.41x3.39","Excellent","Australia","Round","Excellent",57,"1",NA
"1983",0.7,"AGSL","VS2","G"," ",64.4,"None",NA,"5.58x5.56x3.59","Excellent","Canada","Round","Excellent",NA,"1",NA
"1989",0.8,"AGSL","SI2","H","Excellent",62.4,"None",NA,"5.9x5.96+3.7","Excellent","Angola","Round","Very good",58,"1",NA
"1990",0.8,"NA","SI2","H","Excellent",NA,"None",NA,"6x6.03x3.63","Excellent","Canada","Round","Excellent",62,"1",NA
"1993",0.71,"GemEx","SI2","F"," ",62.7,"None",NA,"5.66x5.71x3.56"," ","Russia","Round"," ",57,"1",NA
"1996",0.62,"AGSL","VS1","E"," ",62,"None",NA,"5.51x5.47x3.4","Excellent","Botswana","Round","Excellent",57,"2",NA
"1999",0.7,"AGSL","SI1","G"," ",61.4,"None",NA,"5.69x5.64x3.48","Very good","Australia","Oval","Very good",NA,"1",NA
"2002",0.75,"AGSL","VVS2","I"," ",62.1,NA,NA,"5.83x5.8x3.61","Excellent","Botswana","Round","Very good",57,"1",NA
"2006",0.81,"AGSL","SI2","G"," ",64.4,NA,NA,"5.84x5.82x3.75","Excellent","Canada","Round","Very good",56,"1",NA
"2010",0.7,"AGSL","VS2","F"," ",65.1,"None",NA,"5.55x5.52x3.61","Very good","Russia","Round","Excellent",57,"1",NA
"2012",0.7,"AGSL","VS2","F"," ",63.3,"Medium Bl..",NA,"5.64x5.6*3.56","Very good","Botswana","Oval","Very good",59,"1",NA
"2014",0.7,"AGSL","SI1","F"," ",NA,"Medium Bl..",NA,"5.68x5.63x3.52","Excellent","Russia","Princess","Very good",56,"1",NA
"2022",0.9,"AGSL","VS1","K"," ",63.6,NA,NA,"6.07x6.02x3.85","Excellent","Botswana","Asscher","Excellent",55,"1",NA
"2028",0.7,"AGSL","SI1","G","Very good",63.4,"None",NA,"5.58x5.6x3.54","Excellent","Russia","Asscher","Excellent",61,"1",NA
"2029",0.71,"AGSL","SI2","D"," ",60.1,"None",NA,"5.82x5.77x3.48","Excellent","Botswana","Round","Excellent",60,"2",NA
"2031",0.7,"AGSL","VS2","G"," ",62.1,"None",NA,"5.71x5.7x3.54","Excellent","Australia","Round","Excellent",NA,"1",NA
"2042",0.7,"AGSL","VS2","G"," ",60.1,"None",FALSE,"5.76x5.74x3.45","Excellent","Botswana","Round","Very good",58,"1",NA
"2045",0.7,"AGSL","VS2","G"," ",62.8,"None",NA,"5.68x5.65x3.56","Very good","South Africa","Round","Very good",NA,"2",NA
"2047",0.62,"AGSL","VS2","D"," ",NA," ",NA,"5.54x5.59x3.32","Very good","Botswana","Radiant","Very good",NA,"1",NA
"2048",0.62,"AGSL","VS2","D"," ",61.6," ",NA,"5.49x5.56x3.4","Very good","Australia","Round","Very good",57,"2",NA
"2049",1.01,"AGSL","SI2","L"," ",63.6,"Strong Bl..",NA,"6.35-6.31x4.03","Very good","DR Congo","Round","Very good",58,"2",NA
"2057",0.71,"AGSL","VS1","E"," ",67.3," ",NA,"5.4x5.54x3.68","Good","Angola","Round","Faint",NA,"2",NA
"2063",0.8,"AGSL","SI2","G","Excellent",62.7,NA,NA,"5.92x5.96x3.72","Excellent","Botswana","Round","Excellent",NA,"1",NA
"2064",0.9,"NA","VVS1","K"," ",63.1,"None",NA,"6.13x6.08x3.85","Very good","Russia","Pear","Very good",58,"1",NA
"2069",0.7,"AGSL","VS1","G"," ",61.1,"Faint",NA,"5.69x5.65x3.46","Very good","South Africa","Emerald","Good",64,"2",NA
"2079",0.7,"AGSL","VS1","G"," ",62.2,"Faint",FALSE,"5.69x5.66x3.53","Excellent","Zimbabwe","Uncut","Very good",57,"1",NA
"2082",0.7,"AGSL","VS1","G"," ",61.6,"None",NA,"5.67x5.64x3.49","Excellent","Canada","ROUND","Very good",63,"2",NA
"2086",0.7,"AGSL","VS2","F"," ",63.6,NA,NA,"5.67x5.61x3.59","Very good","Russia","Princess","Good",55,"1",NA
"2089",0.71,"AGSL","VS2","I"," ",62.6,"None",NA,"5.7x5.74x3.58","Excellent","South Africa","Princess","Excellent",57,"2",NA
"2091",0.71,"AGSL","VS2","F"," ",64.4,NA,NA,"5.62x5.59x3.61","Excellent","Botswana","Pear","Excellent",56,"1",NA
"2097",0.8,"AGSL","SI2","F"," ",61.7,"Strong Bl..",NA,"5.92x5.96x3.67"," ","Other/Unknown","Round"," ",60,"1",NA
"2098",0.7,"AGSL","VS1","G"," ",62.5,"None",NA,"5.6x5.57*3.49","Excellent","Zimbabwe","Round","Very good",60,"1",NA
"2102",0.7,"AGSL","VS2","F"," ",63.7,"None",FALSE,"5.63x5.6x3.58","Excellent","Australia","Round","Excellent",55,"2",NA
"2105",0.7,"GemEx","VS1","D"," ",58.6,"Medium Bl..",NA,"5.64x5.72x3.33","Very good","Canada","Round","Very good",65,"1",NA
"2108",0.7,"AGSL","VS2","F"," ",63.2,"None",NA,"5.63x5.62x3.55","Excellent","Zimbabwe","Cushion","Excellent",57,"2",NA
"2117",0.81,"AGSL","SI1","I"," ",62.8,"None",FALSE,"5.86x5.94x3.7","Very good","Australia","Oval","Very good",58,"1",NA
"2122",0.7,"AGSL","SI1","F"," ",63.2,"None",FALSE,"5.58x5.62x3.54","Very good","Angola","Round","Very good",60,"1",NA
"2123",1.04,"AGSL","VS1","M"," ",62.4,NA,NA,"6.5-6.45x4.04","Excellent","Botswana","Radiant","Excellent",NA,"2",NA
"2124",0.7,"AGSL","VS1","F"," ",64,"None",FALSE,"5.63x5.57x3.59","Excellent","Russia","Emerald","Very good",58,"2",NA
"2127",0.82,"AGSL","SI1","H","Very good",64.4,"Faint",NA,"5.83x5.85x3.76","Excellent","Zimbabwe","Round","Excellent",55,"1",NA
"2132",0.7,"AGSL","SI1","D"," ",61.8,NA,NA,"5.71x5.67x3.52","Excellent","Russia","Round","Very good",NA,"2",NA
"2136",0.7,"AGSL","VS1","F"," ",63.6,NA,NA,"5.63x5.59x3.57","Excellent","Russia","Emerald","Very good",NA,"2",NA
"2140",0.81,"GemEx","SI2","E"," ",NA,"None",FALSE,"5.89x5.88x3.74","Excellent","Zimbabwe","Princess","Excellent",57,"1",NA
"2142",1.04,"AGSL","SI2","L"," ",62.4,"Faint",FALSE,"6.49x6.46x4.04","Excellent","Russia","Round","Excellent",NA,"1",NA
"2144",0.9,"GemEx","SI1","L"," ",64.5,"Faint",NA,"6.05x6.01*3.89","Very good","Russia","Round","Very good",58,"1",NA
"2149",0.71,"AGSL","VS1","F"," ",64,"None",NA,"5.64x5.62-3.6","Very good","Australia","Marquise","Very good",54,"2",NA
"2166",0.92,"AGSL","SI1","J"," ",63.7,"None",NA,"6.18x6.13x3.92","Excellent","Botswana","Round","Excellent",NA,"1",NA
"2169",0.7,"AGSL","VVS1","G"," ",64.1,"None",FALSE,"5.57x5.56x3.57","Excellent","Canada","Round","Excellent",55,"1",NA
"2172",0.9,"AGSL","SI1","J"," ",61.3,NA,FALSE,"6.22x6.17x3.8","Very good","South Africa","Pear","Very good",57,"1",NA
"2174",1.03,"AGSL","SI1","L"," ",62.3,NA,NA,"6.45x6.41x4.01","Very good","Australia","Round","Excellent",56,"3",NA
"2176",0.7,"AGSL","SI1","F"," ",63.5,NA,FALSE,"5.56x5.6x3.54","Very good","Russia","Princess","Excellent",58,"1",NA
"2178",0.71,"AGSL","VS1","F"," ",63.7,"None",NA,"5.63x5.61x3.58","Very good","Australia","Oval","Very good",57,"1",NA
"2183",1.04,"AGSL","SI2","L"," ",60.2,"Faint",NA,"6.59x6.57x3.96","Excellent","Zimbabwe","Round","Excellent",NA,"2",NA
"2184",0.7,"NA","VS1","G"," ",62.5,"None",NA,"5.64x5.61x3.52","Very good","DR Congo","Oval","Excellent",57,"1",NA
"2186",0.8,"AGSL","SI2","E"," ",61.9,"None",NA,"5.95*5.92x3.67","Excellent","DR Congo","Round","Excellent",59,"2",NA
"2191",0.7,"AGSL","VVS2","F"," ",63.4,NA,FALSE,"5.65x5.63x3.58","Excellent","Russia","Round","Very good",NA,"1",NA
"2193",1.01,"AGSL","SI2","K"," ",63.2,"Medium Bl..",NA,"6.41x6.37x4.04","Excellent","Russia","Round","Excellent",56,"1",NA
"2194",1,"AGSL","VVS2","L"," ",NA,"Faint",NA,"6.12x6.16x4.1"," ","Canada","Round"," ",NA,"2",NA
"2195",0.62,"AGSL","VVS2","F"," ",NA,"None",NA,"5.48x5.52x3.43","Excellent","Botswana","Round","Excellent",NA,"1",NA
"2205",0.8,"AGSL","SI2","E"," ",61.2,NA,NA,"5.95x5.98x3.65"," ","Angola","Round"," ",58,"1",NA
"2221",0.7,"AGSL","VVS2","F"," ",60.7,"None",NA,"5.67x5.69x3.45"," ","Botswana","Round"," ",NA,"1",NA
"2226",1.03,"AGSL","SI1","L"," ",62,"Medium Bl..",NA,"6.49x6.47x4.02","Excellent","Botswana","Round","Excellent",56,"1",NA
"2227",0.71,"AGSL","VS2","E"," ",60.9,"Faint",NA,"5.81x5.77x3.53","Excellent","Botswana","Round","Excellent",NA,"2",NA
"2228",0.9,"NA","SI2","G"," ",63.8,"Strong Bl..",NA,"6.01x6.11x3.86"," ","Angola","Princess"," ",55,"1",NA
"2238",0.8,"AGSL","SI1","F"," ",63.6,"None",NA,"5.88x5.84x3.73","Excellent","Russia","Oval","Very good",54,"1",NA
"2239",0.71,"AGSL","SI1","G"," ",61.9,"Faint",NA,"5.71x5.73*3.54","Excellent","Zimbabwe","Asscher","Excellent",NA,"2",NA
"2241",1.01,"AGSL","SI2","K"," ",60.7,"None",NA,"6.5x6.46x3.93","Excellent","Botswana","Round","Excellent",59,"2",NA
"2242",0.72,"AGSL","VS1","E"," ",60.5,"Medium Bl..",NA,"5.81x5.79x3.51","Excellent","South Africa","Round","Excellent",NA,"2",NA
"2252",0.7,"NA","VVS1","G"," ",62.7,NA,NA,"5.67x5.65x3.55","Excellent","Botswana","Round","Excellent",57,"1",NA
"2257",1.01,"AGSL","VS2","K"," ",62.5,"None",NA,"6.44x6.39x4.01","Excellent","Canada","Round","Very good",57,"1",NA
"2263",0.7,"AGSL","VS2","D"," ",62.1,"None",NA,"5.69+5.66x3.53","Excellent","Russia","Asscher","Very good",58,"2",NA
"2268",1,"AGSL","SI1","J"," ",66.2,"Strong Bl..",NA,"6.14x6.16x4.07"," ","Canada","ROUND"," ",60,"2",NA
"2269",0.75,"GemEx","VS1","F"," ",60,"None",FALSE,"5.9x5.85x3.52","Excellent","Australia","Round","Excellent",58,"1",NA
"2276",0.9,"AGSL","SI1","I"," ",60.7,"None",FALSE,"6.14x6.11x3.72","Excellent","DR Congo","Round","Good",63,"1",NA
"2278",1.01,"AGSL","VS2","K"," ",62,"None",FALSE,"6.45x6.39*3.98","Excellent","Russia","Round","Very good",NA,"1",NA
"2284",1.01,"NA","SI1","K"," ",62.4,"None",NA,"6.43x6.4x4","Excellent","South Africa","Emerald","Excellent",58,"2",NA
"2287",0.7,"AGSL","VVS2","E"," ",61.6,"None",NA,"5.71x5.67x3.5","Excellent","Angola","Asscher","Excellent",61,"2",NA
"2292",1.01,"AGSL","I1","J"," ",61.9,"Strong Bl..",NA,"6.42x6.45x3.98","Excellent","Canada","Radiant","Excellent",57,"2",NA
"2294",0.76,"AGSL","VVS1","G"," ",57.7,"Faint",NA,"6.06x6.04x3.49","Very good","Australia","Oval","Excellent",NA,"3",NA
"2297",0.75,"AGSL","VS2","H"," ",62.2,"None",NA,"5.84x5.78x3.62","Excellent","Australia","Oval","Very good",58,"1",NA
"2299",0.81,"AGSL","VS2","E"," ",62.4,"Strong Bl..",NA,"5.99x5.97x3.73","Very good","South Africa","Princess","Very good",57,"2",NA
"2309",0.7,"AGSL","VVS1","F"," ",62,"Faint",NA,"5.75x5.72x3.56","Excellent","Russia","Pear","Excellent",56,"2",NA
"2310",1,"AGSL","SI2","J"," ",62.4,"Faint",FALSE,"6.4x6.38x3.99","Excellent","Zimbabwe","Princess","Very good",56,"2",NA
"2312",1,"AGSL","IF","K"," ",NA,"None",NA,"6.53x6.52x3.79","Very good","Canada","Radiant","Excellent",62,"2",NA
"2315",0.9,"AGSL","SI2","F"," ",63,NA,NA,"6.13x6.09x3.85","Excellent","Botswana","Princess","Very good",57,"1",NA
"2331",0.7,"NA","VVS1","F"," ",62.1,"Faint",NA,"5.69x5.67x3.52","Excellent","Canada","Round","Excellent",58,"1",NA
"2332",0.72,"NA","VS2","G"," ",61.6,"Faint",NA,"5.79x5.75x3.55","Excellent","Botswana","Round","Excellent",57,"2",NA
"2333",0.72,"AGSL","SI1","D"," ",59,"None",NA,"5.87x5.91x3.48","Very good","Botswana","Princess","Very good",59,"1",NA
"2334",0.91,"NA","SI1","H"," ",62.4,"Strong Bl..",NA,"6.21x6.16x3.86","Very good","Canada","Princess","Very good",NA,"2",NA
"2339",1.01,"GemEx","SI1","J"," ",NA,"None",FALSE,"6.42x6.36x4.04","Excellent","Russia","Round","Excellent",55,"1",NA
"2346",1,"AGSL","SI1","K"," ",NA,"Medium Bl..",NA,"6.45x6.48x3.95"," ","Australia","Round"," ",55,"3",NA
"2347",1,"NA","VS2","K"," ",61.7,"Medium Bl..",NA,"6.35x6.4x3.94"," ","Russia","Radiant"," ",59,"1",NA
"2348",1.03,"AGSL","SI1","K"," ",60.4,NA,NA,"6.54x6.51*3.95","Excellent","Russia","Radiant","Excellent",NA,"3",NA
"2350",0.9,"AGSL","SI2","E"," ",62.6,"None",NA,"6.12x6.08x3.82","Excellent","Australia","Emerald","Very good",NA,"1",NA
"2351",1.01,"GemEx","SI2","J"," ",59.1,"None",NA,"6.58x6.51x3.87","Excellent","Russia","Round","Very good",61,"1",NA
"2352",1.03,"AGSL","VS2","L"," ",60.7,"None",NA,"6.5x6.51x3.95"," ","DR Congo","Round"," ",62,"1",NA
"2353",0.74,"AGSL","VS2","G"," ",61,"None",NA,"5.85x5.78x3.55","Excellent","Australia","Round","Very good",NA,"1",NA
"2354",0.73,"AGSL","VVS1","F"," ",61.2,"Faint",FALSE,"5.82x5.79x3.55","Excellent","Russia","Round","Excellent",60,"1",NA
"2357",1.24,"AGSL","VVS2","L"," ",61.9,"None",FALSE,"6.85x6.88x4.25","Excellent","Russia","Round","Excellent",59,"3",NA
"2358",1,"AGSL","VS1","K"," ",61.5,"Strong Bl..",NA,"6.42x6.45x3.95"," ","South Africa","Princess"," ",58,"1",NA
"2359",1,"AGSL","SI2","J"," ",61.9," ",FALSE,"6.39x6.4x3.96","Excellent","Russia","Round","Very good",58,"1",NA
"2360",1.03,"AGSL","SI2","J"," ",61.2,"Medium Bl..",NA,"6.52x6.51x3.98","Excellent","Botswana","Round","Excellent",59,"1",NA
"2361",1.01,"AGSL","VS2","J"," ",NA,"Faint",NA,"6.31x6.4x4.03"," ","Russia","Round"," ",NA,"3",NA
"2366",1.01,"AGSL","VS1","J"," ",60.3,"None",NA,"6.44x6.39x3.87","Excellent","Other/Unknown","Radiant","Very good",60,"3",NA
"2367",1.05,"NA","VS1","K"," ",60.7,"Strong Bl..",NA,"6.52*6.57x3.97"," ","Russia","Pear"," ",62,"2",NA
"2369",0.7,"AGSL","VS2","D","Excellent",62.2,"Faint",NA,"5.64x5.66x3.52","Excellent","South Africa","Round","Excellent",59,"2",NA
"2370",0.7,"AGSL","VS1","G"," ",61.2,NA,NA,"5.76*5.71x3.51","Excellent","DR Congo","Round","Excellent",57,"1",NA
"2378",1,"AGSL","SI1","J"," ",64.4,"None",NA,"6.17x6.26x4"," ","Botswana","Round"," ",57,"3",NA
"2381",1.01,"AGSL","VS2","J"," ",64,"None",NA,"6.35x6.29x4.04","Excellent","Russia","Princess","Very good",56,"1",NA
"2382",0.8,"AGSL","VS1","F"," ",62.4,"None",NA,"5.95x5.89x3.69","Excellent","Russia","Radiant","Very good",59,"2",NA
"2386",1.01,"AGSL","SI2","J"," ",60.4,"Faint",FALSE,"6.52x6.49x3.93","Excellent","South Africa","Round","Excellent",NA,"2",NA
"2396",0.7,"AGSL","IF","E"," ",61.6,"Medium Bl..",NA,"5.69x5.78x3.53","Good","Botswana","Princess","Good",61,"1",NA
"2398",1,"GemEx","SI2","I"," ",63.2,"None",NA,"6.24x6.33x3.98"," ","Russia","Oval"," ",58,"2",NA
"2418",1.02,"AGSL","VS2","K"," ",62.7,"None",NA,"6.39x6.45x4.02"," ","Russia","Emerald"," ",58,"1",NA
"2424",1.31,"AGSL","SI2","L"," ",63.6,"Medium Bl..",NA,"6.91x6.87x4.38","Excellent","Russia","Radiant","Very good",NA,"2",NA
"2427",0.91,"AGSL","SI1","H"," ",NA,"None",NA,"6.24*6.21x3.85","Excellent","Russia","Round","Very good",57,"2",NA
"2428",0.9,"AGSL","SI2","G","Excellent",61.4,"None",NA,"6.2x6.23x3.82","Excellent","Canada","Oval","Excellent",57,"1",NA
"2434",0.9,"AGSL","SI2","F"," ",62.8,"Medium Bl..",NA,"6.13x6.17x3.86"," ","Angola","Round"," ",NA,"1",NA
"2438",1,"AGSL","SI1","J"," ",63.2,"Faint",NA,"6.27x6.32x3.98"," ","Botswana","Cushion"," ",60,"3",NA
"2442",1.02,"NA","VS2","K"," ",63.2," ",NA,"6.34x6.42x4.03","Very good","Russia","Round","Very good",NA,"1",NA
"2443",1.03,"AGSL","SI2","I"," ",59.6,"None",NA,"6.53x6.57x3.9"," ","Canada","Round"," ",61,"1",NA
"2447",0.9,"AGSL","SI2","G","Excellent",60.7,"None",NA,"6.27x6.28x3.81","Excellent","Angola","Round","Excellent",NA,"2",NA
"2452",1,"GemEx","VVS2","K"," ",61.9,NA,NA,"6.39x6.35x3.95","Excellent","Russia","Emerald","Excellent",59,"1",NA
"2461",0.8,"NA","VVS2","G"," ",60.5,"Faint",NA,"5.97x6x3.62"," ","Australia","Pear"," ",NA,"1",NA
"2465",0.8,"AGSL","VS1","E"," ",63.9,"None",FALSE,"5.87-5.84x3.74","Excellent","Russia","Round","Very good",55,"1",NA
"2477",1,"AGSL","SI2","I"," ",62.1,"Faint",NA,"6.36x6.38x3.96"," ","Russia","Round"," ",57,"2",NA
"2480",1.01,"AGSL","SI2","J"," ",62.5,NA,NA,"6.38x6.42x4"," ","Botswana","Princess"," ",56,"2",NA
"2487",1.01,"AGSL","VS2","J"," ",59.7,"Medium Bl..",NA,"6.55x6.52x3.9","Excellent","Russia","Princess","Excellent",60,"3",NA
"2488",0.84,"AGSL","VS1","G"," ",62.3,"Faint",NA,"6.02x6.06+3.77"," ","DR Congo","Pear"," ",NA,"2",NA
"2493",0.8,"AGSL","VS1","E"," ",63,"None",NA,"5.93x5.87x3.72","Very good","South Africa","Pear","Very good",56,"2",NA
"2495",1.01,"AGSL","SI2","I"," ",60.2,"None",NA,"6.52x6.5x3.92","Excellent","Botswana","Oval ","Excellent",NA,"3",NA
"2496",1.01,"AGSL","SI2","I"," ",62.4,NA,NA,"6.41x6.4x4","Excellent","Other/Unknown","Round","Excellent",56,"1",NA
"2498",1.01,"AGSL","SI2","I"," ",NA,"None",NA,"6.32x6.39x4.04"," ","Australia","Round"," ",NA,"1",NA
"2502",1.01,"GemEx","SI2","I"," ",64.2,"Faint",NA,"6.26x6.34x4.05"," ","Russia","Round"," ",57,"2",NA
"2504",0.9,"AGSL","SI1","F"," ",62.9,"None",NA,"6.13x6.07x3.84","Excellent","South Africa","Marquis","Good",58,"2",NA
"2509",1.01,"AGSL","SI2","L"," ",60,"None",NA,"6.51x6.49x3.9","Excellent","Australia","Princess","Excellent",60,"3",NA
"2512",0.8,"AGSL","VVS1","H"," ",62,"Faint",NA,"5.91x5.95x3.68"," ","Botswana","Round"," ",57,"1",NA
"2520",1.03,"AGSL","SI2","J"," ",61.9,"Medium Bl..",NA,"6.47x6.49x4.01"," ","Botswana","Round"," ",NA,"2",NA
"2521",1.01,"AGSL","SI2","H"," ",61.6,NA,NA,"6.45x6.4x3.96","Very good","Angola","Round","Excellent",61,"2",NA
"2522",1.03,"AGSL","SI2","J","Excellent",62.4,"Medium Bl..",NA,"6.45x6.47x4.03","Excellent","Botswana","Emerald","Excellent",57,"3",NA
"2528",1.03,"AGSL","VVS2","L"," ",61.9,"Faint",NA,"6.45x6.46x4"," ","Canada","Oval"," ",58,"2",NA
"2529",0.9,"AGSL","SI1","G"," ",62,"None",NA,"6.15x6.09x3.79","Very good","Botswana","Round","Very good",NA,"1",NA
"2531",0.9,"AGSL","SI1","G"," ",64.3,"None",NA,"6.01x6.1x3.9"," ","Australia","Princess"," ",55,"2",NA
"2536",1,"AGSL","SI2","I"," ",62.8,"None",FALSE,"6.35x6.42x4.01"," ","Russia","Cushion"," ",57,"2",NA
"2539",1.02,"AGSL","SI1","J"," ",60.4,"None",NA,"6.54x6.51x3.94","Excellent","Russia","Round","Excellent",NA,"1",NA
"2542",1.03,"NA","SI2","I"," ",NA,"Medium Bl..",NA,"6.54x6.59x3.93"," ","DR Congo","Round"," ",61,"2",NA
"2546",0.9,"AGSL","VS1","H"," ",NA,"Faint",NA,"6.07x6x3.88","Excellent","DR Congo","Round","Very good",NA,"3",NA
"2547",1.03,"AGSL","SI2","I"," ",63.6,"None",FALSE,"6.35x6.38x4.05"," ","South Africa","Round"," ",57,"3",NA
"2559",1.01,"AGSL","SI2","I"," ",62.2,NA,NA,"6.44x6.41x3.99","Excellent","Russia","Radiant","Excellent",57,"1",NA
"2562",1.01,"AGSL","SI2","I"," ",NA,"Faint",NA,"6.4x6.44x3.99"," ","DR Congo","Marquise"," ",56,"1",NA
"2572",0.9,"AGSL","SI2","G"," ",62.2,"None",NA,"6.15x6.17x3.83","Excellent","Botswana","Princess","Excellent",57,"1",NA
"2573",1.32,"AGSL","VS2","M"," ",62.7,"None",NA,"6.95x7x4.38"," ","Russia","Radiant"," ",57,"1",NA
"2574",1.14,"AGSL","SI1","K"," ",61.1,"Medium Bl..",NA,"6.72x6.76x4.12"," ","DR Congo","Round"," ",NA,"1",NA
"2578",1.21,"AGSL","VS2","L"," ",62.4,"Medium Bl..",NA,"6.81x6.79x4.24","Excellent","South Africa","Princess","Excellent",57,"2",NA
"2580",1.04,"AGSL","SI2","J"," ",62.6," ",NA,"6.44x6.47x4.04","Excellent","Other/Unknown","Oval","Excellent",56,"3",NA
"2583",1,"NA","SI2","E"," ",65.4,"None",NA,"6.13x6.29x4.06"," ","Russia","Asscher"," ",55,"2",NA
"2598",1.02,"AGSL","VVS2","K"," ",60.3,"None",NA,"6.53x6.57x3.95"," ","Russia","Emerald"," ",61,"2",NA
"2603",0.96,"AGSL","SI2","F"," ",62.8,"None",NA,"6.31x6.25x3.94","Excellent","Canada","Radiant","Excellent",57,"2",NA
"2607",1.2,"AGSL","VS2","L"," ",60.6," ",FALSE,"6.9x6.97x4.2","Very good","South Africa","Round","Very good",59,"2",NA
"2609",0.85,"AGSL","VS2","F"," ",60.5,"Medium Bl..",NA,"6.12x6.17x3.71","Excellent","Botswana","Round","Very good",58,"1",NA
"2614",0.81,"AGSL","VS1","D"," ",63.9,"Faint",NA,"5.88x5.84x3.74","Excellent","South Africa","Round","Very good",56,"2",NA
"2627",1.01,"AGSL","VS1","I"," ",66,"Faint",NA,"6.12x6.18x4.06"," ","DR Congo","Emerald"," ",NA,"3",NA
"2629",1.01,"AGSL","SI1","J"," ",NA,"Faint",NA,"6.27x6.31x3.96","Excellent","Russia","Princess","Excellent",NA,"2",NA
"2631",1.07,"AGSL","SI2","L"," ",61.6,"Medium",NA,"6.64x6.59x4.08","Excellent","Botswana","Round","Good",NA,"2",NA
"2633",1.01,"AGSL","VS2","J"," ",60.7,"Medium Bl..",NA,"6.47x6.5x3.94"," ","Australia","Round"," ",61,"1",NA
"2637",0.91,"AGSL","SI2","F"," ",62,"Very Stro..",NA,"6.18x6.2x3.84","Good","Russia","Round","Good",58,"1",NA
"2639",1.46,"AGSL","VS2","M"," ",NA,"Strong Bl..",NA,"7.29x7.33x4.49"," ","Botswana","Oval"," ",57,"3",NA
"2642",1.01,"AGSL","SI2","I"," ",64.3,"None",NA,"6.25x6.32x4.04"," ","Canada","Round"," ",59,"2",NA
"2656",1.05,"GemEx","SI1","K"," ",NA,NA,NA,"6.54x6.51x4.03","Excellent","Australia","Round","Excellent",57,"1",NA
"2663",1.02,"AGSL","SI1","K","Good",64,"Medium Bl..",NA,"6.23x6.27x4","Very good","DR Congo","Oval ","Excellent",59,"3",NA
"2664",1.01,"AGSL","SI1","I"," ",61.4,"Medium Bl..",FALSE,"6.45x6.42x3.95","Excellent","Canada","Round","Excellent",61,"1",NA
"2671",1.04,"GemEx","SI1","J"," ",62.7,"None",NA,"6.44x6.49x4.05"," ","Australia","Round"," ",57,"4",NA
"2673",1.01,"AGSL","SI2","J","Good",64,NA,NA,"6.24x6.26x4","Very good","Canada","Round","Very good",61,"2",NA
"2675",1.01,"AGSL","SI2","F"," ",62.8,NA,NA,"6.41x6.37x4.01","Excellent","Botswana","Round","Very good",57,"2",NA
"2686",1.02,"AGSL","SI1","I"," ",NA,"Strong Bl..",NA,"6.53x6.5*3.93","Excellent","DR Congo","Round","Excellent",59,"1",NA
"2690",1.03,"AGSL","SI2","I"," ",61.8,"None",NA,"6.46x6.51x4.01"," ","Canada","ROUND"," ",NA,"2",NA
"2694",0.9,"NA","VS1","H"," ",61,"None",NA,"6.2x6.12x3.76","Very good","Russia","Round","Good",56,"1",NA
"2695",1.01,"GemEx","SI2","G"," ",60.2,"None",NA,"6.52x6.49-3.92","Very good","Canada","Pear","Excellent",NA,"3",NA
"2708",1,"GemEx","SI1","I"," ",65.2,"None",NA,"6.21x6.15x4.02","Very good","Other/Unknown","Princess","Very good",57,"3",NA
"2710",1.22,"AGSL","SI2","K"," ",62.5,"Faint",NA,"6.8x6.85x4.27"," ","Angola","Round"," ",56,"3",NA
"2712",1.1,"AGSL","SI1","J"," ",60.5,"None",FALSE,"6.69x6.66x4.04","Excellent","Russia","Round","Excellent",59,"2",NA
"2715",1,"NA","VS2","J"," ",61.4,"Medium Bl..",NA,"6.42x6.47x3.96"," ","Canada","Pear"," ",NA,"1",NA
"2718",1.3,"NA","SI1","L"," ",59.6,"None",NA,"7.13x7.09x4.24","Excellent","Botswana","Radiant","Excellent",60,"2",NA
"2719",0.9,"AGSL","VVS2","H"," ",62.1,NA,NA,"6.2x6.11x3.82","Excellent","Russia","Round","Good",NA,"2",NA
