"","Carats","Cert","Clarity","Color","Cut","Depth","Fluroescence","Known_Conflict_Diamond","Measurements","Polish","Regions","Shape","Symmetry","Table","Vendor","Price","Retail"
"2116",1.07,"NA","SI2","L"," ",62.1,"None",FALSE,"6.58x6.55x4.08","Excellent","Botswana","Radiant","Very good",57,"1","$ 3,360","$ 4,295"
"2118",0.7,"AGSL","VVS2","G"," ",63.6,"None",FALSE,"5.63x5.58x3.57","Very good","Australia","Round","Excellent",55,"1","$ 3,495","$ 5,770"
"2119",0.7,"AGSL","VVS2","G"," ",63.1,"None",FALSE,"5.62x5.59x3.54","Excellent","DR Congo","Round","Very good",58,"2","$ 3,495","$ 5,745"
"2120",0.7,"AGSL","VVS2","G"," ",62.9,"None",FALSE,"5.65x5.61x3.54","Excellent","Botswana","Round","Good",NA,"2","$ 3,495","$ 5,680"
"2121",0.7,"AGSL","VVS2","G"," ",63.2,"None",FALSE,"5.61x5.58x3.54","Excellent","DR Congo","Princess","Very good",NA,"1","$ 3,495","$ 5,610"
"2125",0.7,"AGSL","SI1","F"," ",61.9,"None",FALSE,"5.64x5.67x3.5","Excellent","Russia","Pear","Excellent",60,"1","$ 3,520","$ 5,810"
"2126",0.7,"AGSL","VS2","D"," ",61.3,NA,FALSE,"5.63x5.59x3.44","Very good","Russia","Round","Good",64,"2","$ 3,520","$ 5,635"
"2128",0.65,"AGSL","IF","H"," ",NA,"None",FALSE,"5.53x5.59x3.35","Excellent","Australia","Round","Very good",63,"2","$ 3,535","$ 5,830"
"2129",0.81,"NA","SI2","E"," ",63.8,"None",FALSE,"5.87x5.85x3.74","Excellent","Other/Unknown","Princess","Excellent",57,"2","$ 2,785","$ 4,335"
"2130",1.04,"AGSL","VS2","M"," ",63.9,"Faint",FALSE,"6.32x6.41+4.06"," ","Australia","Oval"," ",55,"2","$ 3,545","$ 6,010"
"2131",0.8,"AGSL","SI2","F","Very good",58.2,"None",FALSE,"6.11x6.13x3.57","Very good","Angola","Round","Very good",NA,"1","$ 3,550","$ 5,775"
"2133",0.71,"AGSL","VS2","F"," ",62.6,NA,FALSE,"5.73x5.7x3.58","Excellent","Australia","Round","Very good",NA,"2","$ 3,555","$ 5,030"
"2134",0.7,"AGSL","VS1","F"," ",63.3,NA,FALSE,"5.63x5.6x3.56","Very good","Canada","Round","Very good",55,"2","$ 3,565","$ 5,830"
"2135",0.7,"AGSL","VS1","F"," ",63.8,"None",FALSE,"5.59x5.56x3.56","Excellent","Botswana","Cushion","Excellent",NA,"1","$ 3,565","$ 5,600"
"2137",0.7,"AGSL","VS1","E"," ",65.2,"None",FALSE,"5.57x5.49*3.61","Very good","Russia","Radiant","Very good",55,"2","$ 3,575","$ 5,900"
"2138",0.82,"NA","SI2","F"," ",NA,"None",FALSE,"6.01x5.96x3.73","Excellent","Australia","Round","Very good",56,"1","$ 2,920","$ 4,205"
"2139",0.8,"AGSL","SI2","E"," ",NA,"Medium Bl..",FALSE,"5.9x5.94x3.67"," ","Botswana","Round"," ",59,"1","$ 3,590","$ 5,765"
"2141",0.7,"AGSL","VVS2","G"," ",NA,"None",FALSE,"5.66x5.61x3.54","Excellent","Botswana","Round","Very good",56,"2","$ 3,595","$ 5,590"
"2143",0.73,"AGSL","VVS1","H"," ",62.5,"Strong Bl..",FALSE,"5.76x5.75x3.6","Excellent","Russia","Princess","Excellent",57,"1","$ 3,595","$ 5,930"
"2145",0.81,"AGSL","SI2","F","Very good",63.2,"None",FALSE,"5.84x5.86x3.7","Excellent","Russia","Round","Excellent",57,"1","$ 3,600","$ 5,850"
"2146",0.71,"AGSL","SI1","D"," ",62.1,"None",FALSE,"5.73x5.71*3.55","Very good","Russia","Round","Very good",NA,"2","$ 3,600","$ 5,940"
"2147",0.7,"AGSL","VS1","F"," ",63.4,"None",FALSE,"5.6x5.58x3.55","Excellent","Russia","Round","Excellent",55,"1","$ 3,615","$ 5,960"
"2148",0.7,"AGSL","VS1","F"," ",59.2,NA,FALSE,"5.78x5.74x3.41","Excellent","Botswana","Round","Very good",60,"1","$ 3,615","$ 5,605"
"2150",0.7,"AGSL","VS1","F"," ",62.3,NA,FALSE,"5.71x5.69x3.55","Very good","Russia","Round","Excellent",54,"2","$ 3,615","$ 3,425"
"2151",0.7,"AGSL","VS1","F"," ",63.2,"None",FALSE,"5.57x5.54x3.51","Excellent","Other/Unknown","Princess","Very good",59,"2","$ 3,615","$ 5,960"
"2152",0.9,"AGSL","VS2","J"," ",NA,"None",FALSE,"6.13x6.05x3.85","Very good","DR Congo","Princess","Very good",60,"2","$ 3,615","$ 5,765"
"2153",0.8,"AGSL","SI2","F"," ",NA,NA,FALSE,"5.94x5.92x3.68","Excellent","Angola","Marquise","Excellent",NA,"1","$ 3,620","$ 5,805"
"2154",0.82,"AGSL","SI1","H","Very good",62.3,"Medium Bl..",FALSE,"5.94x5.99x3.72","Excellent","Russia","Round","Excellent",NA,"1","$ 3,625","$ 6,250"
"2155",0.93,"AGSL","I1","H"," ",58.8,"None",FALSE,"6.35x6.38x3.74","Very good","Australia","Round","Very good",61,"1","$ 3,630","$ 5,985"
"2156",1,"AGSL","SI2","K"," ",61.3,"None",FALSE,"6.4x6.33x3.9","Excellent","Other/Unknown","Round","Good",NA,"1","$ 3,630","$ 6,150"
"2157",1.01,"AGSL","I1","K"," ",61.7,"Strong Bl..",FALSE,"6.39x6.43x3.95","Very good","Botswana","Round","Good",NA,"3","$ 3,640","$ 5,585"
"2158",0.7,"AGSL","SI1","F","Excellent",NA,NA,FALSE,"5.66x5.69x3.54","Excellent","Russia","Round","Excellent",NA,"1","$ 3,650","$ 5,935"
"2159",0.71,"AGSL","SI1","E","Good",59.5,"None",TRUE,"5.77x5.81x3.45","Very good","Angola","Princess","Good",55,"1","$ 3,650","$ 530"
"2160",1.2,"AGSL","VS2","M"," ",64.5,NA,FALSE,"6.74x6.64x4.31","Excellent","Angola","Round","Good",55,"2","$ 3,655","$ 4,595"
"2161",0.7,"AGSL","VS1","F"," ",NA,"Faint",FALSE,"5.64x5.62x3.56","Very good","Russia","Marquise","Excellent",56,"2","$ 3,660","$ 6,040"
"2162",1.06,"GemEx","SI2","L"," ",60.3,"Faint",FALSE,"6.63x6.6-3.99","Excellent","Zimbabwe","Round","Excellent",59,"1","$ 3,665","$ 6,160"
"2163",1.06,"AGSL","SI2","L"," ",60.3,"None",FALSE,"6.61x6.59x3.98","Excellent","Russia","Round","Excellent",59,"1","$ 3,665","$ 6,205"
"2164",0.9,"NA","VS2","J"," ",63.6,"None",FALSE,"6.09x6.05x3.86","Very good","Botswana","Asscher","Very good",59,"1","$ 3,085","$ 5,120"
"2165",0.73,"AGSL","SI1","F"," ",61.9,NA,FALSE,"5.78x5.81x3.59","Excellent","Australia","Princess","Excellent",NA,"3","$ 3,675","$ 6,005"
"2167",0.81,"AGSL","VVS2","I"," ",62.4,"Faint",FALSE,"6x5.97x3.73","Excellent","DR Congo","Round","Excellent",NA,"1","$ 3,675","$ 5,495"
"2168",0.73,"AGSL","VVS2","I"," ",61.9,"None",TRUE,"5.75x5.8x3.58","Very good","DR Congo","Princess","Very good",59,"3","$ 3,675","$ 420"
"2170",0.7,"AGSL","VVS2","F"," ",61.3,"None",FALSE,"5.62x5.66x3.46","Excellent","Russia","Oval","Very good",60,"1","$ 3,690","$ 6,085"
"2171",0.72,"AGSL","VVS2","G"," ",59,"Faint",FALSE,"5.88*5.86x3.46","Excellent","South Africa","Round","Excellent",NA,"1","$ 3,695","$ 5,810"
"2173",0.75,"AGSL","VS2","F"," ",61.5,"Faint",FALSE,"5.82x5.76x3.56","Excellent","Russia","Princess","Very good",61,"1","$ 3,700","$ 6,105"
"2175",0.7,"AGSL","VVS2","F"," ",62.9,NA,FALSE,"5.64x5.62x3.54","Very good","Botswana","Oval","Very good",56,"1","$ 3,715","$ 5,585"
"2177",0.81,"AGSL","SI2","D"," ",61.1,"Medium Bl..",FALSE,"5.98x6.01x3.67"," ","Russia","Princess"," ",59,"2","$ 3,715","$ 6,130"
"2179",0.73,"AGSL","VS1","G"," ",60.8,NA,FALSE,"5.84x5.8x3.54","Very good","Russia","Round","Very good",NA,"2","$ 3,720","$ 5,875"
"2180",0.9,"AGSL","SI2","I"," ",62.7,"None",FALSE,"6.16x6.09x3.84","Excellent","Botswana","Round","Very good",56,"1","$ 3,730","$ 5,930"
"2181",0.9,"AGSL","SI1","J"," ",62.9," ",FALSE,"6.07x6.11x3.83","Excellent","Angola","Round","Very good",58,"1","$ 3,740","$ 6,170"
"2182",0.71,"AGSL","VVS1","H"," ",61.3,"None",FALSE,"5.75x5.73x3.52","Excellent","South Africa","Round","Excellent",59,"1","$ 3,745","$ 6,135"
"2185",0.8,"GemEx","VVS2","I"," ",NA," ",FALSE,"5.92x5.97x3.69","Very good","South Africa","Princess","Very good",NA,"2","$ 3,760","$ 5,920"
"2187",0.7,"AGSL","VVS2","F"," ",63.8,"None",TRUE,"5.62x5.58x3.57","Excellent","Angola","Round","Very good",58,"1","$ 3,765","$ 820"
"2188",0.71,"AGSL","VS1","F"," ",62.4,"None",FALSE,"5.69x5.66x3.54","Excellent","Russia","Emerald","Very good",57,"1","$ 3,765","$ 6,210"
"2189",0.81,"AGSL","SI2","E"," ",62.4,"Medium Bl..",FALSE,"5.92x5.96x3.71"," ","Australia","Pear"," ",NA,"2","$ 3,765","$ 6,215"
"2190",0.7,"AGSL","VVS2","F"," ",62.7,"None",FALSE,"5.66x5.64x3.54","Excellent","South Africa","Round","Excellent",NA,"1","$ 3,765","$ 5,930"
"2192",1.09,"AGSL","SI2","L"," ",60.9,"None",TRUE,"6.66x6.62x4.04","Very good","DR Congo","Round","Excellent",61,"2","$ 3,765","$ 630"
"2196",0.7,"AGSL","VVS1","G"," ",64.3,"None",FALSE,"5.59x5.54x3.58","Very good","Australia","Princess","Very good",NA,"2","$ 3,790","$ 6,255"
"2197",0.72,"AGSL","VVS1","H"," ",62,"Faint",FALSE,"5.75x5.73x3.56","Excellent","Russia","Emerald","Excellent",57,"2","$ 3,795","$ 6,260"
"2198",0.74,"AGSL","VVS2","G"," ",62.4,"None",FALSE,"5.8x5.78x3.61","Excellent","Angola","Round","Excellent",54,"2","$ 3,800","$ 6,270"
"2199",1,"AGSL","SI2","L"," ",60.8,NA,FALSE,"6.48x6.49x3.94"," ","Other/Unknown","Round"," ",56,"2","$ 3,800","$ 5,895"
"2200",0.73,"AGSL","VVS1","H"," ",62.2,"None",FALSE,"5.77x5.74x3.58","Excellent","DR Congo","Marwuise","Excellent",58,"1","$ 3,130","$ 4,965"
"2201",0.8,"NA","SI1","G"," ",62.5,"None",FALSE,"5.96x5.93x3.72","Excellent","Canada","Oval","Excellent",57,"1","$ 3,425","$ 4,775"
"2202",0.8,"NA","SI1","G","Excellent",60.5,"None",FALSE,"6.01x6.02x3.64","Excellent","Botswana","Round","Excellent",58,"1","$ 3,210","$ 5,055"
"2203",0.81,"AGSL","SI1","G","Very good",63,"Faint",FALSE,"5.82x5.87x3.68","Very good","Russia","Round","Excellent",58,"2","$ 3,825","$ 6,195"
"2204",0.7,"AGSL","SI1","D"," ",NA,"Faint",FALSE,"5.66x5.68x3.54","Excellent","Angola","Asscher","Excellent",55,"1","$ 3,830","$ 6,315"
"2206",0.7,"AGSL","VVS2","F"," ",60.4,"Faint",FALSE,"5.78x5.76x3.48","Excellent","Australia","Emerald","Excellent",59,"1","$ 3,870","$ 6,385"
"2207",0.75,"NA","SI2","D"," ",NA,"None",FALSE,"5.83x5.85x3.62","Excellent","Russia","Oval","Excellent",NA,"1","$ 3,830","$ 5,730"
"2208",1,"AGSL","VS1","L"," ",62,"Faint",FALSE,"6.38x6.32x3.94","Excellent","Russia","Round","Good",58,"1","$ 3,885","$ 6,580"
"2209",0.7,"AGSL","VS1","G"," ",61.8,"None",FALSE,"5.7x5.68x3.51","Excellent","Other/Unknown","Round","Very good",57,"1","$ 3,890","$ 6,415"
"2210",0.72,"AGSL","VS2","E"," ",57.7," ",TRUE,"5.93x5.97x3.43","Very good","Angola","Round","Very good",61,"2","$ 3,810","$ 550"
"2211",1.04,"AGSL","SI2","K"," ",61.1,"Strong Bl..",FALSE,"6.5*6.54x3.98"," ","Russia","Pear"," ",NA,"3","$ 3,895","$ 6,595"
"2212",0.8,"AGSL","SI1","E"," ",63.1,"Strong Bl..",FALSE,"5.9x5.87x3.71","Very good","Other/Unknown","Round","Very good",58,"1","$ 3,895","$ 6,420"
"2213",0.7,"AGSL","VVS1","G"," ",60.8,"Faint",FALSE,"5.72x5.7x3.47","Excellent","Russia","Round","Very good",NA,"1","$ 3,900","$ 6,435"
"2214",0.7,"AGSL","VVS1","G"," ",61.3,"None",TRUE,"5.71x5.69x3.5","Very good","Angola","Round","Excellent",61,"3","$ 3,900","$ 635"
"2215",0.9,"AGSL","SI2","E"," ",60.6,"Very Stro..",FALSE,"6.19x6.21x3.76"," ","Russia","Oval"," ",58,"2","$ 3,900","$ 6,435"
"2216",0.7,"AGSL","VVS1","G"," ",63.4,"None",FALSE,"5.6x5.56x3.54","Very good","Russia","Round","Very good",56,"1","$ 3,900","$ 6,435"
"2217",0.7,"AGSL","VS2","D"," ",63.6,"Faint",FALSE,"5.65x5.59x3.57","Excellent","Other/Unknown","Round","Very good",56,"1","$ 3,900","$ 6,435"
"2218",0.7,"GemEx","VVS1","G"," ",63.1,"None",FALSE,"5.66x5.61x3.55","Excellent","Russia","Round","Excellent",59,"1","$ 3,900","$ 6,435"
"2219",1.01,"AGSL","VS2","K"," ",61.4,"Faint",FALSE,"6.45x6.41x3.95","Very good","Canada","Princess","Very good",NA,"1","$ 3,905","$ 6,615"
"2220",1,"AGSL","SI2","K"," ",61.6,"None",FALSE,"6.43X6.4x3.95","Excellent","Russia","Oval","Excellent",60,"2","$ 3,910","$ 6,625"
"2222",0.7,"AGSL","SI1","G"," ",60.8,"None",FALSE,"5.7x5.73x3.47","Excellent","Botswana","Round","Excellent",61,"2","$ 3,920","$ 6,455"
"2223",0.7,"AGSL","SI1","G"," ",61.7,NA,FALSE,"5.68x5.69x3.5","Excellent","Other/Unknown","Round","Excellent",NA,"1","$ 3,920","$ 3,275"
"2224",0.8,"AGSL","SI1","F"," ",60.5,"Strong Bl..",FALSE,"6.01x6.04x3.65"," ","Botswana","Round"," ",NA,"1","$ 3,925","$ 5,840"
"2225",0.8,"AGSL","VS2","G"," ",63.1,NA,FALSE,"5.92x5.85x3.72","Very good","Zimbabwe","Asscher","Very good",NA,"1","$ 3,925","$ 4,250"
"2229",1.01,"AGSL","SI2","K"," ",61.5,"Faint",FALSE,"6.44x6.41x3.96","Excellent","Australia","Round","Excellent",NA,"1","$ 3,950","$ 6,690"
"2230",0.9,"NA","SI2","H"," ",64.1,NA,FALSE,"6.03x6.07x3.88"," ","Russia","Round"," ",56,"1","$ 3,595","$ 4,840"
"2231",0.7,"AGSL","VVS1","G"," ",NA,"None",FALSE,"5.75x5.7x3.43","Excellent","Canada","Round","Very good",NA,"2","$ 3,955","$ 6,525"
"2232",0.7,"GemEx","VVS1","G"," ",NA,NA,FALSE,"5.7x5.64x3.46","Excellent","DR Congo","Round","Very good",NA,"1","$ 3,955","$ 4,965"
"2233",1.02,"GemEx","SI1","K"," ",61.9,"Strong Bl..",FALSE,"6.46x6.44x4","Excellent","Angola","Emerald","Excellent",56,"1","$ 3,965","$ 6,710"
"2234",1.07,"AGSL","SI1","L"," ",NA,NA,FALSE,"6.56x6.54x4.06","Very good","Australia","Round","Very good",57,"1","$ 3,970","$ 5,810"
"2235",0.7,"AGSL","VVS2","F"," ",59.4,"Faint",FALSE,"5.82x5.79x3.45","Excellent","Russia","Round","Excellent",58,"2","$ 3,975","$ 6,555"
"2236",0.84,"AGSL","SI1","G","Excellent",62.4,"None",FALSE,"5.97x6x3.74","Excellent","Russia","Round","Excellent",57,"1","$ 3,975","$ 6,795"
"2237",0.8,"AGSL","SI1","F"," ",63.6,NA,FALSE,"5.87x5.82x3.72","Excellent","Botswana","Round","Good",NA,"2","$ 3,975","$ 3,945"
"2240",0.71,"AGSL","SI1","G"," ",NA,"None",FALSE,"5.78x5.81x3.45","Excellent","Russia","Princess","Excellent",61,"2","$ 3,980","$ 6,560"
"2243",1.01,"AGSL","SI1","L"," ",62.4,"Faint",FALSE,"6.43x6.4x4.01","Excellent","Angola","Round","Excellent",58,"2","$ 4,025","$ 6,815"
"2244",1,"AGSL","SI2","J"," ",57.7,"Strong Bl..",FALSE,"6.46*6.48x3.74"," ","Canada","Round"," ",64,"2","$ 4,030","$ 6,820"
"2245",1,"GemEx","SI2","J"," ",62.4,"Faint",FALSE,"6.32x6.33x3.95"," ","Russia","Radiant"," ",NA,"1","$ 4,030","$ 6,820"
"2246",0.73,"NA","SI1","E"," ",62,"None",FALSE,"5.77x5.79x3.58","Excellent","Russia","Oval","Excellent",NA,"1","$ 3,295","$ 4,755"
"2247",0.9,"AGSL","VS2","I"," ",64.8,"None",TRUE,"6.09x6.01x3.92","Excellent","DR Congo","Oval ","Very good",59,"1","$ 3,350","$ 490"
"2248",0.8,"AGSL","SI1","E"," ",63.8,"None",FALSE,"5.85x5.82-3.72","Excellent","Canada","Round","Very good",57,"1","$ 4,045","$ 6,675"
"2249",0.8,"AGSL","SI1","E"," ",63.8,"None",FALSE,"5.87x5.83x3.73","Excellent","Other/Unknown","Round","Excellent",59,"2","$ 4,045","$ 6,675"
"2250",0.7,"AGSL","VS1","D"," ",64.2,"Faint",FALSE,"5.54x5.6x3.57"," ","Russia","Round"," ",NA,"1","$ 4,055","$ 6,685"
"2251",0.7,"AGSL","VVS1","G"," ",62.7,"Faint",FALSE,"5.67x5.65x3.55","Excellent","Russia","Round","Excellent",NA,"2","$ 4,060","$ 6,700"
"2253",1.04,"AGSL","SI2","K"," ",59.6,"None",FALSE,"6.64x6.6*3.95","Excellent","Botswana","Round","Excellent",60,"2","$ 4,065","$ 4,960"
"2254",1.01,"AGSL","VS1","K"," ",NA,"Strong Bl..",FALSE,"6.17x6.24x4.07"," ","Angola","Round"," ",NA,"1","$ 4,070","$ 6,890"
"2255",0.8,"AGSL","SI1","F"," ",62.5,"Faint",FALSE,"5.91x5.89x3.69","Very good","South Africa","Radiant","Excellent",57,"1","$ 4,075","$ 6,360"
"2256",1.01,"AGSL","VS2","K"," ",64.2,"None",FALSE,"6.39x6.33x4.08","Very good","Canada","Round","Very good",54,"3","$ 4,095","$ 6,935"
"2258",0.81,"AGSL","SI1","E"," ",64,"None",FALSE,"5.85x5.83x3.74","Excellent","Russia","Emerald","Excellent",57,"2","$ 4,100","$ 6,760"
"2259",0.96,"AGSL","SI1","K"," ",62.5,"None",FALSE,"6.26x6.3x3.93","Excellent","Other/Unknown","Round","Excellent",56,"1","$ 4,100","$ 6,760"
"2260",0.8,"AGSL","SI1","E"," ",62.7,"None",FALSE,"5.91x5.9x3.7","Very good","Canada","Round","Excellent",NA,"2","$ 4,100","$ 6,760"
"2261",0.8,"GemEx","SI1","E"," ",63.2,"Medium Bl..",FALSE,"5.81x5.86x3.69"," ","Botswana","Round"," ",56,"2","$ 4,100","$ 6,440"
"2262",0.77,"AGSL","SI1","H"," ",NA,"None",FALSE,"5.85x5.81x3.61","Excellent","DR Congo","Round","Excellent",60,"2","$ 4,110","$ 6,765"
"2264",0.72,"AGSL","VVS1","G"," ",NA,"Faint",FALSE,"5.71x5.69x3.6","Excellent","DR Congo","ROUND","Excellent",56,"1","$ 4,120","$ 6,320"
"2265",0.9,"AGSL","SI2","G"," ",64.6,"None",FALSE,"5.98x6.04x3.88"," ","Russia","Emerald"," ",56,"1","$ 4,120","$ 6,795"
"2266",1.01,"AGSL","VS1","M"," ",61.9,"None",FALSE,"6.42x6.47x3.99"," ","Russia","Oval "," ",57,"1","$ 3,305","$ 6,990"
"2267",1,"NA","SI1","J"," ",66.2,"Strong Bl..",FALSE,"6.18x6.21x4.11"," ","Russia","Round"," ",59,"2","$ 3,660","$ 6,685"
"2270",0.9,"AGSL","SI1","I"," ",63.9,"None",FALSE,"6.09x6.05x3.88","Very good","Botswana","Round","Very good",NA,"2","$ 4,150","$ 6,825"
"2271",0.9,"AGSL","SI1","I"," ",64.3,NA,FALSE,"5.99x6.04x3.87"," ","Australia","Round"," ",NA,"1","$ 4,150","$ 6,825"
"2272",0.9,"AGSL","VS2","I"," ",NA,"None",FALSE,"6.08x5.99x3.87","Very good","Botswana","Round","Very good",NA,"1","$ 4,165","$ 6,730"
"2273",0.81,"AGSL","VS2","G"," ",61.9,"None",FALSE,"6x5.97x3.7","Excellent","Other/Unknown","Round","Excellent",57,"1","$ 4,175","$ 6,890"
"2274",1,"AGSL","VVS2","M"," ",60,"Faint",FALSE,"6.53*6.55x3.92"," ","Zimbabwe","Round"," ",60,"3","$ 4,195","$ 6,925"
"2275",0.8,"AGSL","VVS2","H"," ",62.7,"Faint",FALSE,"5.97x5.94x3.73","Excellent","Russia","Oval ","Excellent",56,"1","$ 3,300","$ 6,930"
"2277",1.02,"AGSL","SI1","K"," ",NA,"Faint",FALSE,"6.46x6.43x3.95","Excellent","Australia","Princess","Very good",NA,"2","$ 4,205","$ 7,125"
"2279",1.01,"AGSL","SI1","K"," ",59.3,"None",FALSE,"6.54x6.52x3.87","Excellent","DR Congo","Princess","Excellent",61,"3","$ 4,225","$ 6,285"
"2280",1,"AGSL","VS1","K"," ",64.5,"Faint",FALSE,"6.27x6.29x4.05"," ","Botswana","Marquis"," ",NA,"1","$ 3,485","$ 7,085"
"2281",1.01,"AGSL","SI1","K"," ",60,"Faint",FALSE,"6.55x6.53x3.93","Excellent","Botswana","Round","Excellent",NA,"1","$ 4,225","$ 6,905"
"2282",1.01,"AGSL","SI1","K"," ",60.3,"None",TRUE,"6.47x6.41x3.89","Excellent","DR Congo","Round","Very good",NA,"3","$ 4,225","$ 460"
"2283",0.7,"NA","VS1","E"," ",59.7,"None",FALSE,"5.65x5.71x3.39","Excellent","Russia","Round","Good",60,"1","$ 3,510","$ 5,380"
"2285",1.01,"AGSL","VVS2","K"," ",64.5,"None",FALSE,"6.29x6.26x4.04","Very good","Russia","Round","Very good",57,"1","$ 4,230","$ 7,165"
"2286",0.73,"AGSL","VS2","D"," ",61.8," ",FALSE,"5.74x5.78x3.56","Very good","Zimbabwe","ROUND","Very good",NA,"3","$ 4,115","$ 6,525"
"2288",0.8,"AGSL","SI1","E"," ",58.9,"None",FALSE,"6.1x6.08x3.59","Excellent","Russia","Round","Very good",61,"1","$ 4,250","$ 7,015"
"2289",0.8,"AGSL","SI1","E"," ",62.4,"None",FALSE,"5.94x5.89x3.69","Excellent","Botswana","Marquise","Very good",57,"2","$ 4,250","$ 7,005"
"2290",0.8,"AGSL","SI1","E"," ",61.7,"None",TRUE,"6x5.95x3.69","Very good","DR Congo","Princess","Very good",55,"2","$ 4,250","$ 770"
"2291",1.02,"GemEx","VS2","K"," ",62.3,NA,FALSE,"6.45x6.4x4.01","Very good","Russia","Round","Very good",58,"2","$ 4,260","$ 6,505"
"2293",0.92,"AGSL","SI2","F"," ",64.3,"Faint",FALSE,"6.08x6.03x3.89","Excellent","DR Congo","Round","Excellent",59,"1","$ 4,275","$ 5,445"
"2295",0.91,"AGSL","SI2","F"," ",62.6,"Strong Bl..",FALSE,"6.18x6.09x3.84","Excellent","Australia","Round","Very good",57,"1","$ 4,295","$ 7,080"
"2296",0.7,"AGSL","VS2","G"," ",59.4,"None",FALSE,"5.76x5.72*3.41","Excellent","Botswana","Princess","Very good",NA,"3","$ 4,295","$ 6,630"
"2298",1.08,"AGSL","SI1","L"," ",60,"None",FALSE,"6.67x6.64x4","Excellent","Russia","Princess","Excellent",59,"1","$ 4,300","$ 7,285"
"2300",0.85,"AGSL","VS1","G","Good",61.6,"Strong Bl..",FALSE,"5.97x6.02x3.69","Very good","Russia","Pear","Excellent",65,"1","$ 4,325","$ 7,800"
"2301",1.01,"AGSL","VS1","K"," ",62.4,"None",FALSE,"6.37x6.31x3.96","Excellent","Russia","Princess","Good",56,"2","$ 4,330","$ 7,335"
"2302",1.01,"AGSL","SI2","J"," ",60.3,"None",FALSE,"6.5x6.47x3.91","Excellent","South Africa","Radiant","Very good",60,"1","$ 4,330","$ 7,275"
"2303",0.68,"AGSL","VVS2","D"," ",NA,"Medium Bl..",FALSE,"5.58x5.6x3.48","Very good","Canada","Emerald","Excellent",60,"1","$ 4,330","$ 7,145"
"2304",0.8,"AGSL","VS1","E"," ",65.2,NA,FALSE,"5.82x5.77x3.78","Excellent","Botswana","Round","Very good",56,"1","$ 4,335","$ 5,585"
"2305",1.01,"AGSL","SI1","K"," ",59.5,"Faint",FALSE,"6.58x6.54x3.9","Excellent","Russia","Round","Excellent",60,"3","$ 4,345","$ 7,360"
"2306",0.9,"NA","VS1","I"," ",NA,"Strong Bl..",FALSE,"6.05x6.12x3.88"," ","Russia","Round"," ",55,"2","$ 3,605","$ 4,560"
"2307",0.9,"AGSL","VS2","I"," ",63.4,NA,FALSE,"6.18x6.11x3.9","Very good","Russia","Asscher","Very good",58,"1","$ 4,345","$ 5,540"
"2308",1.12,"AGSL","SI1","K"," ",65.9,"Faint",FALSE,"6.44x6.46x4.25"," ","Russia","Emerald"," ",56,"1","$ 4,350","$ 7,370"
"2311",1.24,"AGSL","SI1","M"," ",61.1,"Faint",FALSE,"6.94x6.96x4.25"," ","Russia","Radiant"," ",NA,"3","$ 4,360","$ 7,385"
"2313",0.91,"AGSL","VS2","K"," ",NA,"None",FALSE,"6.03x5.97x3.89","Excellent","Angola","Round","Good",58,"1","$ 4,370","$ 7,210"
"2314",1.06,"AGSL","VS1","L"," ",NA,"Medium Bl..",FALSE,"6.66x6.62x3.98","Excellent","Australia","Round","Excellent",NA,"1","$ 4,370","$ 7,405"
"2316",0.9,"GemEx","SI1","G"," ",63.5,"Strong Bl..",FALSE,"6.14x6.1x3.88","Very good","Russia","Round","Very good",57,"2","$ 4,370","$ 7,210"
"2317",1.03,"AGSL","VS2","K"," ",61.8,"Medium Bl..",FALSE,"6.48x6.47x4","Excellent","Australia","Round","Excellent",58,"1","$ 4,370","$ 7,400"
"2318",1.01,"AGSL","SI1","J"," ",60.8,"None",FALSE,"6.44x6.4x3.9","Excellent","Angola","Round","Very good",NA,"1","$ 4,380","$ 7,420"
"2319",1.13,"AGSL","SI1","L"," ",62.7,"None",FALSE,"6.66x6.64x4.17","Excellent","Australia","Round","Excellent",NA,"2","$ 4,380","$ 7,415"
"2320",1,"AGSL","VVS2","K"," ",64.2,"None",FALSE,"6.22x6.26x4.01","Very good","Australia","Asscher","Very good",58,"2","$ 4,385","$ 7,425"
"2321",0.8,"AGSL","VVS1","H"," ",62.7,"None",FALSE,"5.89x5.87x3.68","Excellent","Russia","Emerald","Excellent",57,"2","$ 4,385","$ 7,230"
"2322",0.7,"AGSL","VVS1","G"," ",61.9,"None",FALSE,"5.67x5.71x3.53","Excellent","Angola","Round","Excellent",NA,"2","$ 4,390","$ 7,240"
"2323",1.01,"AGSL","SI2","J"," ",64.9,"None",FALSE,"6.2x6.33x4.06"," ","Russia","Emerald"," ",NA,"1","$ 4,395","$ 7,445"
"2324",1.21,"AGSL","SI2","K"," ",60.8,"None",FALSE,"6.88x6.84x4.17","Very good","DR Congo","Round","Good",58,"2","$ 4,395","$ 6,940"
"2325",1.08,"AGSL","SI2","K"," ",62.4,"Faint",FALSE,"6.56x6.52x4.08","Excellent","Botswana","Round","Excellent",57,"2","$ 4,405","$ 6,370"
"2326",1.06,"AGSL","I1","I"," ",58.2,"Strong Bl..",FALSE,"6.65x6.7x3.88","Very good","Russia","Round","Very good",60,"1","$ 4,405","$ 7,465"
